county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Baker",3758,145,77,240,22,25,12600,21000
"Benton",10886,120,60,225,22,15,8100,13500
"Clackamas",28320,161,100,268,58,21,12120,20200
"Clatsop",1650,64,25,120,12,10,2400,4000
"Columbia",6572,160,92,275,51,14,10800,18000
"Coos",7684,100,55,160,28,10,6360,10600
"Crook",7059,280,86,455,80,20,24840,41400
"Curry",3422,71,42,140,28,10,6060,10100
"Deschutes",21415,148,49,372,72,20,8040,13400
"Douglas",14496,140,88,220,26,6,10800,18000
"Gilliam",368,375,200,605,127,50,22020,36700
"Grant",1765,180,105,300,33,15,15000,25000
"Harney",4447,180,96,330,25,40,16500,27500
"Hood River",533,190,110,275,67,20,9900,16500
"Jackson",31925,180,100,300,27,12,18000,30000
"Jefferson",1897,320,180,520,187,20,24660,41100
"Josephine",25996,126,90,200,26,12,10800,18000
"Klamath",13369,180,91,329,43,24,9600,16000
"Lake",5511,166,95,330,27,30,10800,18000
"Lane",34640,110,63,204,20,20,9600,16000
"Lincoln",3262,110,75,175,27,6,6000,10000
"Linn",20942,90,52,185,18,20,7140,11900
"Malheur",5481,100,47,240,20,30,9540,15900
"Marion",27407,135,88,228,35,30,11400,19000
"Morrow",2452,161,95,325,39,60,9720,16200
"Multnomah",7882,100,30,248,25,20,2100,3500
"Polk",6073,136,78,222,28,11,11040,18400
"Sherman",404,285,177,415,93,30,18300,30500
"Tillamook",2351,114,70,180,22,11,7020,11700
"Umatilla",9943,195,105,325,48,50,13620,22700
"Union",3822,165,100,300,23,25,15600,26000
"Wallowa",1764,140,92,245,40,25,9600,16000
"Wasco",3268,310,180,478,140,20,20520,34200
"Washington",18497,170,88,300,32,15,7500,12500
"Wheeler",682,165,78,342,31,15,15000,25000
"Yamhill",11400,170,108,264,38,15,12060,20100
